epoch	valid_loss	valid_perplexity
Training epoch 1	6.34	567.98
Training epoch 1	5.49	242.86
Training epoch 1	5.33	205.52
Training epoch 1	5.26	191.74
Training epoch 1	5.23	186.08
Training epoch 1	5.21	182.18
Training epoch 1	5.19	179.52
Training epoch 1	5.16	174.31
Training epoch 1	5.12	168.05
Training epoch 1	5.21	182.56
Training epoch 1	5.24	188.24
Training epoch 1	5.23	186.58
Training epoch 1	5.17	175.74
Training epoch 1	5.20	181.06
Training epoch 1	5.16	173.52
Training epoch 1	5.13	169.77
Training epoch 1	5.17	175.46
Training epoch 1	5.17	176.25
Training epoch 1	5.15	171.82
Training epoch 1	5.15	172.75
Training epoch 1	5.20	180.93
Validation epoch 1	4.96	143.07
Training epoch 2	5.17	176.73
Training epoch 2	5.13	168.59
Training epoch 2	5.13	169.80
Training epoch 2	5.14	170.77
Training epoch 2	5.14	170.23
Training epoch 2	5.14	170.91
Training epoch 2	5.14	170.31
Training epoch 2	5.12	167.37
Training epoch 2	5.10	164.53
Training epoch 2	5.18	177.29
Training epoch 2	5.21	183.69
Training epoch 2	5.20	181.34
Training epoch 2	5.15	172.05
Training epoch 2	5.19	178.69
Training epoch 2	5.14	170.56
Training epoch 2	5.13	168.52
Training epoch 2	5.15	173.07
Training epoch 2	5.16	173.42
Training epoch 2	5.13	169.29
Training epoch 2	5.15	171.94
Training epoch 2	5.19	178.73
Validation epoch 2	4.99	146.79
Training epoch 3	5.15	172.02
Training epoch 3	5.08	161.06
Training epoch 3	5.07	159.31
Training epoch 3	5.08	159.97
Training epoch 3	5.07	158.41
Training epoch 3	5.07	158.41
Training epoch 3	5.06	157.34
Training epoch 3	5.04	155.05
Training epoch 3	5.01	150.00
Training epoch 3	5.10	163.61
Training epoch 3	5.13	169.78
Training epoch 3	5.12	167.44
Training epoch 3	5.04	154.96
Training epoch 3	5.09	162.00
Training epoch 3	5.04	154.82
Training epoch 3	5.02	151.61
Training epoch 3	5.06	157.11
Training epoch 3	5.06	157.00
Training epoch 3	5.03	152.26
Training epoch 3	5.03	153.47
Training epoch 3	5.08	160.53
Validation epoch 3	4.95	140.81
Training epoch 4	5.07	159.90
Training epoch 4	5.02	151.64
Training epoch 4	5.02	152.06
Training epoch 4	5.02	151.62
Training epoch 4	5.02	151.28
Training epoch 4	5.03	152.95
Training epoch 4	5.02	151.09
Training epoch 4	5.01	150.33
Training epoch 4	4.98	145.38
Training epoch 4	5.06	158.26
Training epoch 4	5.10	164.41
Training epoch 4	5.09	162.61
Training epoch 4	5.02	151.79
Training epoch 4	5.06	157.94
Training epoch 4	5.02	151.70
Training epoch 4	5.01	149.39
Training epoch 4	5.04	153.93
Training epoch 4	5.04	153.99
Training epoch 4	5.01	150.01
Training epoch 4	5.02	150.93
Training epoch 4	5.06	157.38
Validation epoch 4	4.93	138.43
Training epoch 5	5.05	155.88
Training epoch 5	5.01	149.33
Training epoch 5	5.01	149.37
Training epoch 5	5.01	149.57
Training epoch 5	5.00	149.12
Training epoch 5	5.02	151.65
Training epoch 5	5.01	149.54
Training epoch 5	5.00	147.97
Training epoch 5	4.97	143.65
Training epoch 5	5.04	155.24
Training epoch 5	5.08	161.38
Training epoch 5	5.07	158.74
Training epoch 5	5.01	149.72
Training epoch 5	5.05	156.23
Training epoch 5	5.01	149.24
Training epoch 5	4.99	147.04
Training epoch 5	5.02	151.78
Training epoch 5	5.02	151.70
Training epoch 5	5.00	148.26
Training epoch 5	5.00	148.83
Training epoch 5	5.05	156.18
Validation epoch 5	4.91	135.40
Training epoch 6	5.03	153.31
Training epoch 6	4.99	146.84
Training epoch 6	5.00	147.74
Training epoch 6	5.00	147.85
Training epoch 6	4.99	146.67
Training epoch 6	5.00	148.21
Training epoch 6	5.00	147.67
Training epoch 6	4.99	146.61
Training epoch 6	4.96	142.16
Training epoch 6	5.04	153.88
Training epoch 6	5.07	158.59
Training epoch 6	5.06	158.16
Training epoch 6	4.99	147.41
Training epoch 6	5.03	153.49
Training epoch 6	5.00	147.73
Training epoch 6	4.98	145.80
