epoch	valid_loss	valid_perplexity
Training epoch 1	6.30	544.53
Training epoch 1	5.39	218.39
Training epoch 1	5.13	169.67
Training epoch 1	5.02	151.27
Training epoch 1	4.95	141.58
Training epoch 1	4.91	135.22
Training epoch 1	4.86	128.72
Training epoch 1	4.83	124.60
Training epoch 1	4.76	116.92
Training epoch 1	4.84	126.51
Training epoch 1	4.82	124.47
Training epoch 1	4.81	123.30
Training epoch 1	4.77	117.96
Training epoch 1	4.78	118.65
Training epoch 1	4.71	110.68
Training epoch 1	4.70	110.09
Training epoch 1	4.75	115.96
Training epoch 1	4.76	116.42
Training epoch 1	4.73	113.58
Training epoch 1	4.75	115.60
Training epoch 1	4.74	114.02
Validation epoch 1	4.62	101.20
Training epoch 2	4.69	109.03
Training epoch 2	4.70	109.53
Training epoch 2	4.71	110.89
Training epoch 2	4.71	111.02
Training epoch 2	4.68	107.97
Training epoch 2	4.70	109.73
Training epoch 2	4.70	110.39
Training epoch 2	4.69	109.25
Training epoch 2	4.65	105.09
Training epoch 2	4.71	111.39
Training epoch 2	4.71	110.54
Training epoch 2	4.70	110.01
Training epoch 2	4.70	110.40
Training epoch 2	4.70	110.42
Training epoch 2	4.64	104.06
Training epoch 2	4.66	105.15
Training epoch 2	4.70	110.19
Training epoch 2	4.72	112.50
Training epoch 2	4.70	109.90
Training epoch 2	4.72	112.34
Training epoch 2	4.69	109.28
Validation epoch 2	4.58	97.45
Training epoch 3	4.66	105.74
Training epoch 3	4.67	106.69
Training epoch 3	4.70	109.84
Training epoch 3	4.69	108.34
Training epoch 3	4.66	105.47
Training epoch 3	4.67	107.01
Training epoch 3	4.70	109.56
Training epoch 3	4.68	108.02
Training epoch 3	4.65	104.65
Training epoch 3	4.70	110.26
Training epoch 3	4.69	108.54
Training epoch 3	4.70	109.57
Training epoch 3	4.69	108.66
Training epoch 3	4.69	108.79
Training epoch 3	4.63	102.62
Training epoch 3	4.64	103.20
Training epoch 3	4.69	109.20
Training epoch 3	4.71	111.14
Training epoch 3	4.69	108.90
Training epoch 3	4.72	111.66
Training epoch 3	4.68	107.30
Validation epoch 3	4.57	96.38
Training epoch 4	4.65	104.57
Training epoch 4	4.67	106.33
Training epoch 4	4.69	108.67
Training epoch 4	4.68	108.25
Training epoch 4	4.64	103.46
Training epoch 4	4.67	106.97
Training epoch 4	4.68	108.24
Training epoch 4	4.69	108.93
Training epoch 4	4.66	105.16
Training epoch 4	4.69	109.38
Training epoch 4	4.69	108.75
Training epoch 4	4.70	109.67
Training epoch 4	4.69	109.14
Training epoch 4	4.70	109.94
Training epoch 4	4.63	102.77
Training epoch 4	4.65	104.24
Training epoch 4	4.69	109.14
Training epoch 4	4.71	111.59
Training epoch 4	4.70	109.41
Training epoch 4	4.72	111.81
Training epoch 4	4.68	108.12
Validation epoch 4	4.58	97.06
Training epoch 5	4.60	99.94
Training epoch 5	4.61	100.59
Training epoch 5	4.62	101.90
Training epoch 5	4.61	100.55
Training epoch 5	4.56	95.73
Training epoch 5	4.58	97.99
Training epoch 5	4.60	99.78
Training epoch 5	4.59	98.21
Training epoch 5	4.56	95.56
Training epoch 5	4.59	98.86
Training epoch 5	4.58	97.78
Training epoch 5	4.58	97.98
Training epoch 5	4.57	96.98
Training epoch 5	4.58	97.45
Training epoch 5	4.51	91.03
Training epoch 5	4.52	91.85
Training epoch 5	4.57	96.68
Training epoch 5	4.58	97.83
Training epoch 5	4.56	95.13
Training epoch 5	4.58	97.23
Training epoch 5	4.54	93.27
Validation epoch 5	4.50	90.16
Training epoch 6	4.51	91.07
Training epoch 6	4.54	93.76
Training epoch 6	4.56	95.39
Training epoch 6	4.55	95.08
Training epoch 6	4.51	90.50
Training epoch 6	4.54	93.34
Training epoch 6	4.55	94.93
Training epoch 6	4.55	94.26
Training epoch 6	4.51	91.05
Training epoch 6	4.55	94.98
Training epoch 6	4.54	94.06
Training epoch 6	4.55	94.92
Training epoch 6	4.55	94.19
Training epoch 6	4.54	93.80
Training epoch 6	4.48	88.45
Training epoch 6	4.49	89.09
Training epoch 6	4.54	94.11
Training epoch 6	4.56	95.61
Training epoch 6	4.54	93.50
Training epoch 6	4.55	95.01
Training epoch 6	4.52	91.44
Validation epoch 6	4.49	89.14
Training epoch 7	4.48	88.45
Training epoch 7	4.51	90.95
Training epoch 7	4.54	93.79
Training epoch 7	4.53	93.07
Training epoch 7	4.48	88.11
Training epoch 7	4.51	91.17
Training epoch 7	4.53	92.60
Training epoch 7	4.52	92.06
Training epoch 7	4.49	88.90
Training epoch 7	4.53	92.45
Training epoch 7	4.52	91.86
Training epoch 7	4.53	92.73
Training epoch 7	4.52	91.83
Training epoch 7	4.52	92.15
Training epoch 7	4.46	86.77
Training epoch 7	4.47	87.76
Training epoch 7	4.54	93.31
Training epoch 7	4.54	94.06
Training epoch 7	4.52	92.09
Training epoch 7	4.54	93.34
Training epoch 7	4.50	90.12
Validation epoch 7	4.49	88.77
Training epoch 8	4.47	87.05
Training epoch 8	4.50	89.87
Training epoch 8	4.52	91.91
Training epoch 8	4.51	91.00
Training epoch 8	4.46	86.75
Training epoch 8	4.49	89.32
Training epoch 8	4.51	91.31
Training epoch 8	4.50	90.26
Training epoch 8	4.48	88.13
Training epoch 8	4.52	91.70
Training epoch 8	4.51	90.58
Training epoch 8	4.52	91.64
Training epoch 8	4.51	90.85
Training epoch 8	4.51	91.11
Training epoch 8	4.46	86.37
Training epoch 8	4.46	86.49
Training epoch 8	4.52	91.80
Training epoch 8	4.54	93.42
Training epoch 8	4.52	91.41
Training epoch 8	4.53	92.63
Training epoch 8	4.48	88.51
Validation epoch 8	4.48	88.35
Training epoch 9	4.45	85.91
Training epoch 9	4.48	88.14
Training epoch 9	4.51	91.31
Training epoch 9	4.50	90.30
Training epoch 9	4.46	86.16
Training epoch 9	4.49	88.96
Training epoch 9	4.51	90.75
Training epoch 9	4.50	89.70
Training epoch 9	4.47	87.20
Training epoch 9	4.51	90.62
Training epoch 9	4.50	89.86
Training epoch 9	4.51	90.51
Training epoch 9	4.51	90.66
Training epoch 9	4.52	91.41
Training epoch 9	4.44	84.82
Training epoch 9	4.45	85.90
Training epoch 9	4.51	90.75
Training epoch 9	4.53	92.30
Training epoch 9	4.50	90.16
Training epoch 9	4.52	91.99
Training epoch 9	4.48	88.37
Validation epoch 9	4.47	87.68
Training epoch 10	4.45	85.51
Training epoch 10	4.48	88.00
Training epoch 10	4.50	90.24
Training epoch 10	4.50	90.00
Training epoch 10	4.44	85.15
Training epoch 10	4.48	88.06
Training epoch 10	4.50	90.10
Training epoch 10	4.49	88.82
Training epoch 10	4.47	87.02
Training epoch 10	4.50	90.12
Training epoch 10	4.49	88.75
Training epoch 10	4.50	89.80
Training epoch 10	4.49	89.29
Training epoch 10	4.50	90.19
Training epoch 10	4.43	83.83
Training epoch 10	4.44	85.04
Training epoch 10	4.50	89.96
Training epoch 10	4.52	91.90
Training epoch 10	4.49	89.52
Training epoch 10	4.51	90.59
Training epoch 10	4.47	87.66
Validation epoch 10	4.46	86.90
Training epoch 11	4.43	84.18
Training epoch 11	4.46	86.82
Training epoch 11	4.49	89.48
Training epoch 11	4.49	89.37
Training epoch 11	4.44	84.56
Training epoch 11	4.47	87.57
Training epoch 11	4.49	88.75
Training epoch 11	4.48	88.38
Training epoch 11	4.46	86.10
Training epoch 11	4.49	89.36
Training epoch 11	4.48	88.08
Training epoch 11	4.49	89.11
Training epoch 11	4.48	88.34
Training epoch 11	4.49	89.35
Training epoch 11	4.43	83.56
Training epoch 11	4.43	84.27
Training epoch 11	4.49	89.37
Training epoch 11	4.52	91.42
Training epoch 11	4.49	88.84
Training epoch 11	4.51	90.58
Training epoch 11	4.46	86.79
Validation epoch 11	4.47	86.97
Training epoch 12	4.44	84.68
Training epoch 12	4.46	86.33
Training epoch 12	4.48	88.20
Training epoch 12	4.47	87.50
Training epoch 12	4.42	82.92
Training epoch 12	4.45	85.42
Training epoch 12	4.47	87.50
Training epoch 12	4.46	86.38
Training epoch 12	4.43	83.77
Training epoch 12	4.46	86.83
Training epoch 12	4.45	85.83
Training epoch 12	4.46	86.69
Training epoch 12	4.46	86.30
Training epoch 12	4.46	86.61
Training epoch 12	4.40	81.42
Training epoch 12	4.41	81.96
Training epoch 12	4.47	87.01
Training epoch 12	4.48	88.66
Training epoch 12	4.45	85.92
Training epoch 12	4.48	88.03
Training epoch 12	4.43	83.70
Validation epoch 12	4.45	85.54
Training epoch 13	4.42	82.99
Training epoch 13	4.43	84.26
Training epoch 13	4.47	87.20
Training epoch 13	4.45	85.83
Training epoch 13	4.40	81.73
Training epoch 13	4.43	84.14
Training epoch 13	4.46	86.30
Training epoch 13	4.45	85.61
Training epoch 13	4.43	83.52
Training epoch 13	4.46	86.22
Training epoch 13	4.45	85.33
Training epoch 13	4.46	86.51
Training epoch 13	4.45	85.76
Training epoch 13	4.46	86.17
Training epoch 13	4.39	80.77
Training epoch 13	4.41	81.95
Training epoch 13	4.46	86.83
Training epoch 13	4.47	87.78
Training epoch 13	4.45	85.77
Training epoch 13	4.47	87.21
Training epoch 13	4.43	83.62
Validation epoch 13	4.45	85.42
Training epoch 14	4.41	82.20
Training epoch 14	4.44	84.86
Training epoch 14	4.46	86.43
Training epoch 14	4.46	86.39
Training epoch 14	4.40	81.71
Training epoch 14	4.43	84.14
Training epoch 14	4.45	85.76
Training epoch 14	4.45	85.32
Training epoch 14	4.42	82.93
Training epoch 14	4.45	85.68
Training epoch 14	4.43	84.17
Training epoch 14	4.46	86.19
Training epoch 14	4.45	85.35
Training epoch 14	4.45	85.93
Training epoch 14	4.39	80.94
Training epoch 14	4.40	81.08
Training epoch 14	4.45	85.99
Training epoch 14	4.47	87.32
Training epoch 14	4.45	85.81
Training epoch 14	4.47	87.59
Training epoch 14	4.42	83.02
Validation epoch 14	4.44	85.19
Training epoch 15	4.40	81.46
Training epoch 15	4.43	83.84
Training epoch 15	4.46	86.48
Training epoch 15	4.45	85.28
Training epoch 15	4.40	81.62
Training epoch 15	4.43	83.66
Training epoch 15	4.45	85.81
Training epoch 15	4.44	84.88
Training epoch 15	4.42	82.82
Training epoch 15	4.45	85.37
Training epoch 15	4.44	84.70
Training epoch 15	4.45	85.72
Training epoch 15	4.44	85.06
Training epoch 15	4.45	85.46
Training epoch 15	4.38	80.03
Training epoch 15	4.40	81.07
