epoch	valid_loss	valid_perplexity
Training epoch 1	6.27	531.00
Training epoch 1	5.31	201.52
Training epoch 1	4.97	144.63
Training epoch 1	4.80	121.27
Training epoch 1	4.69	108.38
Training epoch 1	4.60	99.63
Training epoch 1	4.51	91.31
Training epoch 1	4.44	84.46
Training epoch 1	4.34	76.61
Training epoch 1	4.37	79.33
Training epoch 1	4.28	72.38
Training epoch 1	4.24	69.16
Training epoch 1	4.22	68.23
Training epoch 1	4.20	66.62
Training epoch 1	4.08	59.07
Training epoch 1	4.09	59.91
Training epoch 1	4.13	62.27
Training epoch 1	4.14	62.58
Training epoch 1	4.10	60.41
Training epoch 1	4.10	60.59
Training epoch 1	4.01	55.22
Validation epoch 1	4.35	77.12
Training epoch 2	3.98	53.64
Training epoch 2	3.98	53.33
Training epoch 2	4.01	55.02
Training epoch 2	3.98	53.61
Training epoch 2	3.90	49.53
Training epoch 2	3.94	51.30
Training epoch 2	3.95	52.00
Training epoch 2	3.94	51.24
Training epoch 2	3.88	48.49
Training epoch 2	3.88	48.33
Training epoch 2	3.79	44.08
Training epoch 2	3.79	44.29
Training epoch 2	3.87	47.89
Training epoch 2	3.84	46.68
Training epoch 2	3.74	41.92
Training epoch 2	3.80	44.53
Training epoch 2	3.85	46.79
Training epoch 2	3.86	47.68
Training epoch 2	3.84	46.67
Training epoch 2	3.86	47.40
Training epoch 2	3.72	41.41
Validation epoch 2	4.22	68.24
Training epoch 3	3.75	42.72
Training epoch 3	3.76	42.97
Training epoch 3	3.80	44.69
Training epoch 3	3.80	44.48
Training epoch 3	3.69	39.90
Training epoch 3	3.74	41.93
Training epoch 3	3.78	43.64
Training epoch 3	3.77	43.25
Training epoch 3	3.73	41.52
Training epoch 3	3.68	39.57
Training epoch 3	3.55	34.98
Training epoch 3	3.58	35.78
Training epoch 3	3.72	41.37
Training epoch 3	3.69	39.90
Training epoch 3	3.57	35.64
Training epoch 3	3.67	39.14
Training epoch 3	3.72	41.33
Training epoch 3	3.74	42.22
Training epoch 3	3.73	41.62
Training epoch 3	3.74	42.22
Training epoch 3	3.57	35.65
Validation epoch 3	4.19	66.33
Training epoch 4	3.64	38.09
Training epoch 4	3.66	38.75
Training epoch 4	3.70	40.36
Training epoch 4	3.69	40.17
Training epoch 4	3.56	35.26
Training epoch 4	3.63	37.73
Training epoch 4	3.68	39.73
Training epoch 4	3.67	39.32
