epoch	valid_loss	valid_perplexity
Training epoch 1	6.32	556.90
Training epoch 1	5.41	222.55
Training epoch 1	5.09	162.97
Training epoch 1	4.94	139.55
Training epoch 1	4.84	126.31
Training epoch 1	4.76	116.94
Training epoch 1	4.69	108.73
Training epoch 1	4.63	102.07
Training epoch 1	4.54	93.72
Training epoch 1	4.59	98.50
Training epoch 1	4.52	91.69
Training epoch 1	4.50	89.71
Training epoch 1	4.47	87.17
Training epoch 1	4.46	86.43
Training epoch 1	4.36	77.97
Training epoch 1	4.36	78.05
Training epoch 1	4.40	81.68
Training epoch 1	4.41	82.28
Training epoch 1	4.38	79.89
Training epoch 1	4.39	80.27
Training epoch 1	4.33	75.93
Validation epoch 1	4.61	100.70
Training epoch 2	4.30	73.42
Training epoch 2	4.29	73.22
Training epoch 2	4.32	74.94
Training epoch 2	4.30	73.78
Training epoch 2	4.25	69.90
Training epoch 2	4.27	71.87
Training epoch 2	4.29	72.82
Training epoch 2	4.27	71.39
Training epoch 2	4.23	68.38
Training epoch 2	4.25	69.89
Training epoch 2	4.20	66.87
Training epoch 2	4.21	67.56
Training epoch 2	4.24	69.40
Training epoch 2	4.23	68.97
Training epoch 2	4.15	63.75
Training epoch 2	4.18	65.18
Training epoch 2	4.23	68.78
Training epoch 2	4.25	70.22
Training epoch 2	4.23	68.61
Training epoch 2	4.25	70.18
Training epoch 2	4.17	64.79
Validation epoch 2	4.49	88.78
Training epoch 3	4.17	64.65
Training epoch 3	4.17	64.94
Training epoch 3	4.21	67.28
Training epoch 3	4.20	66.92
Training epoch 3	4.14	62.68
Training epoch 3	4.18	65.44
Training epoch 3	4.20	66.75
Training epoch 3	4.18	65.64
Training epoch 3	4.15	63.21
Training epoch 3	4.16	63.79
Training epoch 3	4.11	61.10
Training epoch 3	4.13	62.06
Training epoch 3	4.17	64.69
Training epoch 3	4.16	64.35
Training epoch 3	4.08	59.41
Training epoch 3	4.12	61.64
Training epoch 3	4.18	65.40
Training epoch 3	4.20	66.57
Training epoch 3	4.18	65.24
Training epoch 3	4.20	66.49
Training epoch 3	4.12	61.53
Validation epoch 3	4.43	83.94
Training epoch 4	4.12	61.70
Training epoch 4	4.13	61.99
Training epoch 4	4.17	64.46
Training epoch 4	4.17	64.81
Training epoch 4	4.09	59.85
Training epoch 4	4.14	62.65
Training epoch 4	4.16	64.36
Training epoch 4	4.15	63.27
Training epoch 4	4.12	61.56
Training epoch 4	4.12	61.57
Training epoch 4	4.07	58.55
Training epoch 4	4.09	59.91
Training epoch 4	4.15	63.35
Training epoch 4	4.13	62.37
Training epoch 4	4.06	57.73
Training epoch 4	4.09	59.83
Training epoch 4	4.16	64.02
Training epoch 4	4.18	65.23
Training epoch 4	4.16	64.07
Training epoch 4	4.19	65.80
Training epoch 4	4.09	59.57
Validation epoch 4	4.39	80.85
Training epoch 5	4.10	60.46
Training epoch 5	4.11	61.18
Training epoch 5	4.15	63.51
Training epoch 5	4.15	63.20
Training epoch 5	4.07	58.50
Training epoch 5	4.12	61.66
Training epoch 5	4.14	63.01
Training epoch 5	4.13	62.40
Training epoch 5	4.10	60.57
Training epoch 5	4.10	60.18
Training epoch 5	4.05	57.14
Training epoch 5	4.08	58.92
Training epoch 5	4.13	62.01
Training epoch 5	4.12	61.56
Training epoch 5	4.04	56.99
Training epoch 5	4.08	59.31
Training epoch 5	4.14	62.85
Training epoch 5	4.16	63.82
Training epoch 5	4.14	63.08
Training epoch 5	4.17	64.65
Training epoch 5	4.07	58.70
Validation epoch 5	4.36	78.28
Training epoch 6	4.10	60.17
Training epoch 6	4.10	60.29
Training epoch 6	4.14	62.66
Training epoch 6	4.15	63.19
Training epoch 6	4.06	57.73
Training epoch 6	4.11	61.24
Training epoch 6	4.13	62.46
Training epoch 6	4.12	61.78
Training epoch 6	4.10	60.37
Training epoch 6	4.09	59.57
Training epoch 6	4.03	56.18
Training epoch 6	4.06	58.15
Training epoch 6	4.12	61.69
Training epoch 6	4.12	61.36
Training epoch 6	4.03	56.00
Training epoch 6	4.08	58.89
Training epoch 6	4.13	62.19
Training epoch 6	4.15	63.40
Training epoch 6	4.14	62.74
Training epoch 6	4.17	64.42
Training epoch 6	4.06	58.12
Validation epoch 6	4.36	78.35
Training epoch 7	4.04	56.84
Training epoch 7	4.04	56.63
Training epoch 7	4.05	57.50
Training epoch 7	4.05	57.18
Training epoch 7	3.95	52.19
Training epoch 7	4.00	54.36
Training epoch 7	4.02	55.60
Training epoch 7	4.01	54.97
Training epoch 7	3.98	53.46
Training epoch 7	3.96	52.53
Training epoch 7	3.90	49.17
Training epoch 7	3.93	50.74
Training epoch 7	3.98	53.63
Training epoch 7	3.97	52.88
Training epoch 7	3.88	48.43
Training epoch 7	3.92	50.60
Training epoch 7	3.98	53.30
Training epoch 7	3.99	53.91
Training epoch 7	3.97	52.82
Training epoch 7	3.98	53.59
Training epoch 7	3.88	48.43
Validation epoch 7	4.27	71.17
Training epoch 8	3.95	51.88
Training epoch 8	3.96	52.34
Training epoch 8	4.00	54.46
Training epoch 8	3.99	54.08
Training epoch 8	3.90	49.56
Training epoch 8	3.95	52.11
Training epoch 8	3.99	53.84
Training epoch 8	3.97	53.05
Training epoch 8	3.95	51.80
Training epoch 8	3.92	50.41
Training epoch 8	3.86	47.28
Training epoch 8	3.89	48.89
Training epoch 8	3.96	52.37
Training epoch 8	3.94	51.58
Training epoch 8	3.86	47.35
Training epoch 8	3.90	49.43
Training epoch 8	3.96	52.34
Training epoch 8	3.97	53.11
Training epoch 8	3.96	52.49
Training epoch 8	3.97	53.24
Training epoch 8	3.87	47.82
Validation epoch 8	4.25	70.32
Training epoch 9	3.92	50.49
Training epoch 9	3.94	51.19
Training epoch 9	3.98	53.28
Training epoch 9	3.97	53.20
Training epoch 9	3.88	48.43
Training epoch 9	3.93	51.06
Training epoch 9	3.97	52.75
Training epoch 9	3.95	52.13
Training epoch 9	3.93	50.77
Training epoch 9	3.90	49.58
Training epoch 9	3.84	46.35
Training epoch 9	3.88	48.24
Training epoch 9	3.95	51.89
Training epoch 9	3.93	51.04
Training epoch 9	3.84	46.59
Training epoch 9	3.89	49.09
Training epoch 9	3.95	52.17
Training epoch 9	3.97	52.80
Training epoch 9	3.95	51.86
Training epoch 9	3.96	52.57
Training epoch 9	3.86	47.63
Validation epoch 9	4.25	69.90
Training epoch 10	3.91	49.70
Training epoch 10	3.92	50.63
Training epoch 10	3.96	52.67
Training epoch 10	3.97	52.72
Training epoch 10	3.87	47.86
Training epoch 10	3.92	50.61
Training epoch 10	3.95	52.11
Training epoch 10	3.94	51.62
Training epoch 10	3.92	50.48
Training epoch 10	3.90	49.28
Training epoch 10	3.83	45.93
Training epoch 10	3.86	47.59
Training epoch 10	3.93	50.96
Training epoch 10	3.92	50.55
Training epoch 10	3.83	46.16
Training epoch 10	3.89	48.70
Training epoch 10	3.95	51.78
Training epoch 10	3.96	52.44
Training epoch 10	3.94	51.31
Training epoch 10	3.96	52.39
Training epoch 10	3.85	47.06
Validation epoch 10	4.24	69.21
Training epoch 11	3.90	49.28
Training epoch 11	3.92	50.18
Training epoch 11	3.95	51.99
Training epoch 11	3.95	52.17
Training epoch 11	3.86	47.32
Training epoch 11	3.92	50.20
Training epoch 11	3.95	51.89
Training epoch 11	3.94	51.18
Training epoch 11	3.91	49.84
Training epoch 11	3.88	48.55
Training epoch 11	3.82	45.61
Training epoch 11	3.86	47.24
Training epoch 11	3.93	50.79
Training epoch 11	3.91	50.00
Training epoch 11	3.82	45.72
Training epoch 11	3.88	48.34
Training epoch 11	3.94	51.25
Training epoch 11	3.95	51.99
Training epoch 11	3.94	51.18
Training epoch 11	3.95	51.87
Training epoch 11	3.85	46.92
Validation epoch 11	4.23	68.96
Training epoch 12	3.89	48.93
Training epoch 12	3.91	49.77
Training epoch 12	3.95	51.77
Training epoch 12	3.94	51.59
Training epoch 12	3.85	47.01
Training epoch 12	3.90	49.56
Training epoch 12	3.94	51.23
Training epoch 12	3.93	50.73
Training epoch 12	3.90	49.58
Training epoch 12	3.87	47.84
Training epoch 12	3.81	45.33
Training epoch 12	3.85	46.87
Training epoch 12	3.92	50.33
Training epoch 12	3.90	49.49
Training epoch 12	3.82	45.41
Training epoch 12	3.87	47.96
Training epoch 12	3.93	51.01
Training epoch 12	3.95	51.69
Training epoch 12	3.93	50.82
Training epoch 12	3.95	51.70
Training epoch 12	3.84	46.37
Validation epoch 12	4.23	68.42
Training epoch 13	3.88	48.59
Training epoch 13	3.89	49.13
Training epoch 13	3.93	51.16
Training epoch 13	3.94	51.28
Training epoch 13	3.84	46.59
Training epoch 13	3.90	49.28
Training epoch 13	3.93	50.86
Training epoch 13	3.92	50.60
Training epoch 13	3.90	49.32
Training epoch 13	3.87	47.85
Training epoch 13	3.80	44.87
Training epoch 13	3.84	46.62
Training epoch 13	3.92	50.28
Training epoch 13	3.90	49.37
Training epoch 13	3.81	45.18
Training epoch 13	3.87	47.74
Training epoch 13	3.93	50.68
Training epoch 13	3.93	51.14
Training epoch 13	3.92	50.50
Training epoch 13	3.94	51.40
Training epoch 13	3.83	46.02
Validation epoch 13	4.23	68.67
Training epoch 14	3.88	48.37
Training epoch 14	3.89	48.67
Training epoch 14	3.93	50.66
Training epoch 14	3.92	50.60
Training epoch 14	3.82	45.64
Training epoch 14	3.88	48.49
Training epoch 14	3.91	49.71
Training epoch 14	3.90	49.48
Training epoch 14	3.87	48.08
Training epoch 14	3.84	46.49
Training epoch 14	3.77	43.38
Training epoch 14	3.81	45.19
Training epoch 14	3.88	48.32
Training epoch 14	3.86	47.52
Training epoch 14	3.78	43.88
Training epoch 14	3.83	45.87
Training epoch 14	3.89	48.68
Training epoch 14	3.89	49.15
Training epoch 14	3.88	48.34
Training epoch 14	3.90	49.23
Training epoch 14	3.79	44.10
Validation epoch 14	4.21	67.34
Training epoch 15	3.85	47.06
Training epoch 15	3.87	47.81
Training epoch 15	3.91	49.83
Training epoch 15	3.91	49.79
Training epoch 15	3.81	45.23
Training epoch 15	3.87	47.71
Training epoch 15	3.90	49.25
Training epoch 15	3.89	48.95
Training epoch 15	3.86	47.70
Training epoch 15	3.83	46.04
Training epoch 15	3.77	43.22
Training epoch 15	3.80	44.82
Training epoch 15	3.87	48.01
Training epoch 15	3.86	47.27
Training epoch 15	3.77	43.54
Training epoch 15	3.82	45.60
Training epoch 15	3.88	48.52
Training epoch 15	3.90	49.20
Training epoch 15	3.88	48.54
Training epoch 15	3.89	49.14
Training epoch 15	3.78	43.92
Validation epoch 15	4.21	67.33
Training epoch 16	3.85	46.84
Training epoch 16	3.86	47.67
Training epoch 16	3.90	49.51
Training epoch 16	3.90	49.56
Training epoch 16	3.80	44.78
Training epoch 16	3.86	47.37
Training epoch 16	3.89	49.10
Training epoch 16	3.89	48.67
Training epoch 16	3.85	47.18
Training epoch 16	3.83	45.84
Training epoch 16	3.76	42.81
Training epoch 16	3.80	44.48
Training epoch 16	3.87	47.97
Training epoch 16	3.85	47.14
Training epoch 16	3.77	43.49
Training epoch 16	3.82	45.68
Training epoch 16	3.88	48.48
Training epoch 16	3.90	49.30
Training epoch 16	3.88	48.29
Training epoch 16	3.89	48.91
Training epoch 16	3.78	43.93
Validation epoch 16	4.21	67.12
Training epoch 17	3.85	46.80
Training epoch 17	3.86	47.49
Training epoch 17	3.90	49.29
Training epoch 17	3.89	48.92
Training epoch 17	3.80	44.74
Training epoch 17	3.85	46.99
Training epoch 17	3.89	48.84
Training epoch 17	3.88	48.58
Training epoch 17	3.85	47.17
Training epoch 17	3.82	45.57
Training epoch 17	3.76	42.79
Training epoch 17	3.79	44.45
Training epoch 17	3.87	48.02
Training epoch 17	3.85	47.14
Training epoch 17	3.77	43.33
Training epoch 17	3.82	45.42
Training epoch 17	3.88	48.43
Training epoch 17	3.89	48.87
Training epoch 17	3.88	48.19
Training epoch 17	3.89	48.97
Training epoch 17	3.78	43.61
Validation epoch 17	4.21	67.18
Training epoch 18	3.84	46.61
Training epoch 18	3.86	47.30
Training epoch 18	3.90	49.23
Training epoch 18	3.90	49.41
Training epoch 18	3.80	44.62
Training epoch 18	3.85	47.09
Training epoch 18	3.89	48.80
Training epoch 18	3.87	48.03
Training epoch 18	3.85	47.09
Training epoch 18	3.81	45.37
Training epoch 18	3.75	42.48
Training epoch 18	3.79	44.28
Training epoch 18	3.86	47.24
Training epoch 18	3.84	46.74
Training epoch 18	3.76	43.03
Training epoch 18	3.81	45.02
Training epoch 18	3.87	47.75
Training epoch 18	3.88	48.19
Training epoch 18	3.86	47.49
Training epoch 18	3.87	48.00
Training epoch 18	3.77	43.22
Validation epoch 18	4.20	66.97
Training epoch 19	3.84	46.42
Training epoch 19	3.85	46.98
Training epoch 19	3.89	49.04
Training epoch 19	3.89	48.99
Training epoch 19	3.79	44.35
Training epoch 19	3.84	46.74
Training epoch 19	3.88	48.50
